college_name,city,state,type_des,degree_des,campus_des,median_family_income,retention,population_recieving_loan,fed_loan_recipients,population_recieving_pell,pell_recipients,instate_tuition,outofstate_tuition,attendance_cost,avg_net_price,first_bracket_net_price,second_bracket_net_price,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,median_earnings,avg_earnings_from_low_income_bracket,avg_earnings_from_mid_income_bracket,avg_earnings_from_high_income_bracket,earning_above_threshold,completion_rate,debt_high_income,population_debt_high_income,debt_mid_income,population_debt_mid_income,debt_low_income,population_debt_low_income,debt_pell,population_debt_pell,debt_nopell,population_debt_nopell,debt_withdrew,debt_graduated,population_repayment_cohort,repayment_rate
Alabama A & M University,Normal,AL,public,bachelors,main,29039,0.6314,0.930000007,0.8204,0.810000002,0.7115,7182,12774,18888,13415,12683,13292,16104,16944,15416,31400,33400,35300,41400,0.622062683,0.308718313,25557,282,22662.5,630,18198,1563,20441,2163,15000,314,14250,33611.5,2062,0.44471387
University of Alabama at Birmingham,Birmingham,AL,public,bachelors,main,34909,0.8016,0.920000017,0.5397,0.589999974,0.3505,7206,16398,19990,14805,12361,13765,16670,17096,17291,40300,45900,44400,49700,0.749342382,0.508549808,15000,1306,16500,1907,16500,2694,18750,3737,12500,2178,11886,23117,3750,0.756266667
University of Alabama in Huntsville,Huntsville,AL,public,bachelors,main,39766,0.8098,0.920000017,0.4728,0.600000024,0.3281,9192,21506,20306,17520,14652,16334,19016,20263,20306,46600,47800,53900,57700,0.7938326,0.478211346,15000,714,17587,764,17083.5,1146,18750,1707,12500,918,10500,24738,1922,0.781997919
Alabama State University,Montgomery,AL,public,bachelors,main,24029.5,0.6219,0.939999998,0.8735,0.850000024,0.8265,8720,15656,17400,11936,12342,10811,11362,13079,2948,27800,28900,31900,36600,0.557421446,0.257481955,14375,278,17125,1008,15000,2847,16746,3756,9500,379,12500,33452,2811,0.331198862
The University of Alabama,Tuscaloosa,AL,public,bachelors,main,58976,0.87,0.939999998,0.4148,0.529999971,0.2107,9450,23950,26717,20916,17206,19960,21363,23115,23748,42400,46800,49800,50000,0.787617981,0.666009354,17000,3737,18250,2591,18750,2798,20250,4990,14250,4171,11000,24000,5724,0.8139413
Athens State University,Athens,AL,public,bachelors,main,30811,,0.870000005,0.6277,0.680000007,0.4107,,,,,,,,,,39700,38600,43300,44600,0.755469739,,13986,288,15391.5,662,13250,983,15071,1341,12500,594,9999,18832,1459,0.767649075
Auburn University at Montgomery,Montgomery,AL,public,bachelors,main,27378,0.6321,0.910000026,0.6476,0.670000017,0.4006,8750,24950,16556,11915,9044,11037,14542,15537,15579,34800,33800,40500,37800,0.679445326,0.285309228,10250.5,470,11927,713,10250,1371,11000,1768,9500,791,8250,21791,2107,0.628856194
Auburn University,Auburn University,AL,public,bachelors,main,71775.5,0.8946,0.959999979,0.361,0.460000008,0.1687,9852,26364,23788,17541,13191,16272,18240,19276,20142,45400,49900,52900,52600,0.803368151,0.680930242,18000,2772,18750,1547,18007.5,1436,21500,2765,15000,3002,11000,22250,4594,0.882455377
Jacksonville State University,Jacksonville,AL,public,bachelors,main,35158,0.7112,0.920000017,0.6811,0.699999988,0.4613,7092,13884,19202,16078,14021,15774,18261,19180,19202,35100,34000,38000,39000,0.679775298,0.297699661,15000,871,17250,1489,16151,2046,18145,3229,12500,1182,12000,23500,3499,0.627607888
University of West Alabama,Livingston,AL,public,bachelors,main,23735,0.5781,0.860000014,0.7193,0.75999999,0.5604,7660,14170,17959,13221,12131,12490,15140,15656,15509,33800,33200,38600,41300,0.666134179,0.330417768,11000,199,13500,391,14184,1099,16350,1294,8915,400,10864.5,22500,1226,0.543230016
University of Montevallo,Montevallo,AL,public,bachelors,main,48019,0.7365,0.920000017,0.5872,0.610000014,0.4136,10000,19690,20209,15003,12723,14312,15804,16885,17681,35100,32300,39500,36700,0.714086473,0.459535962,15000,372,17250,394,16500,519,18688,841,12205,447,12400,23400,944,0.771186441
University of North Alabama,Florence,AL,public,bachelors,main,40030,0.7079,0.879999995,0.6883,0.649999976,0.4192,7078,12670,15058,11476,11270,11610,11706,11878,13357,36300,35700,41300,42400,0.713467062,0.322248727,14000,654,12750,927,11667,1213,13238,1936,11720,863,8735,21750,2182,0.687901008
University of South Alabama,Mobile,AL,public,bachelors,main,30958,0.6787,0.899999976,0.5549,0.639999986,0.3743,6948,13596,17125,13027,10165,11227,15144,17047,17083,38300,43100,45500,48600,0.718304873,0.350631543,14627,1193,15000,1695,15000,2509,17408,3571,12500,1838,9500,25000,4566,0.701489269
Troy University,Troy,AL,public,bachelors,main,27401,0.7389,0.930000007,0.6414,0.720000029,0.4758,7276,13612,16877,11168,11192,10364,10193,12767,,36600,35300,43800,44000,0.701223433,0.345579703,14750,1385,19000,3469,17700,8051,19000,10237,12500,2681,15000,26000,9435,0.543508214
University of Alaska Anchorage,Anchorage,AK,public,bachelors,main,36717,0.7062,0.850000024,0.286,0.579999983,0.2473,5147,15206,13180,8160,6204,7014,9195,11295,11713,42000,41300,48300,51300,0.70495826,0.255403123,9500,1358,12000,1908,12500,2535,13857,3569,9250.5,2240,10000,20675,3919,0.747384537
University of Alaska Fairbanks,Fairbanks,AK,public,bachelors,main,35138.5,0.7687,0.810000002,0.2676,0.639999986,0.2349,4984,15560,15035,9372,7916,7059,9646,11720,12529,38200,40000,44900,50700,0.70094341,0.30914582,8250,607,11678,795,12736,1145,14250,1632,8250,921,9500,20000,1669,0.695026962
University of Alaska Southeast,Juneau,AK,public,bachelors,main,33802.5,0.7158,0.819999993,0.209,0.600000024,0.1834,5693,16269,16409,9462,8443,7994,11898,13268,10957,39500,39400,44700,42000,0.714754105,0.121454656,PrivacySuppressed,PrivacySuppressed,12500,246,12396,319,13476,441,PrivacySuppressed,PrivacySuppressed,9892,19437.5,534,0.732209738
Arizona State University-Tempe,Tempe,AZ,public,bachelors,main,43477,0.844,0.879999995,0.4784,0.589999974,0.3376,9861,23654,21960,11480,8246,9083,13292,14918,15904,45200,49300,52600,55400,0.799963474,0.580479231,15000,8227,16500,9707,16750,11933,17988,19413,13750,10547,11000,20375,15718,0.802837511
University of Arizona,Tucson,AZ,public,bachelors,main,46758,0.8148,0.860000014,0.3962,0.600000024,0.3265,10391,27383,23905,13617,10542,11413,15096,18507,19480,44400,48800,52600,57900,0.779976726,0.613370272,13000,3633,13476,3246,13794.5,3992,15000,6894,11895,4009,9279,19000,7087,0.832651333
Northern Arizona University,Flagstaff,AZ,public,bachelors,main,43127,0.7178,0.910000026,0.5571,0.600000024,0.3778,9738,22093,22771,15011,11962,12893,15636,18280,19619,38800,41800,42900,45100,0.753864169,0.491979379,14534,3403,15000,3778,15343.5,4528,16836,7555,12500,4182,9500,21450,6303,0.760114231
University of Arkansas at Little Rock,Little Rock,AR,public,bachelors,main,26332.5,0.6973,0.920000017,0.4818,0.74000001,0.4027,7094,16871,19894,10087,9026,9684,12016,12257,11921,34800,33700,41200,46300,0.68306452,0.226839293,11000,764,14520,1613,14500,3308,15750,4346,10000,1343,10500,23000,4402,0.657655611
University of Arkansas for Medical Sciences,Little Rock,AR,public,bachelors,main,34993,,0.959999979,0.6322,0.460000008,0.363,,,,,,,,,,62400,67800,68800,80000,0.896153867,,PrivacySuppressed,PrivacySuppressed,12899.5,280,14125,384,PrivacySuppressed,PrivacySuppressed,12500,459,10500,12820,824,0.930825243
University of Arkansas,Fayetteville,AR,public,bachelors,main,52612,0.821,0.910000026,0.4084,0.540000021,0.2427,7818,19074,19917,11861,8801,9567,12995,14456,14930,43600,45800,49000,52800,0.785385132,0.602214707,13000,2599,15250,2093,16000,2177,18000,3776,12000,3110,9887,21524,4021,0.85152947
University of Arkansas at Pine Bluff,Pine Bluff,AR,public,bachelors,main,23857,0.5621,0.930000007,0.7276,0.870000005,0.6986,5938,11638,15414,7695,7140,7876,9652,11824,15414,27400,28100,33100,36400,0.545105577,0.267308412,15519,160,15870,487,12536.5,1210,13966,1648,11000,209,9500,27954.5,2033,0.407279882
Arkansas State University-Main Campus,Jonesboro,AR,public,bachelors,main,27550,0.7312,0.850000024,0.5289,0.779999971,0.4618,7510,13120,18809,9475,7990,8185,11353,12230,11508,32700,31800,38900,43800,0.649034023,0.38261545,12000,1062,13000,2369,13635,3918,14250,5729,10392,1633,9750,20959,5706,0.646862951
Arkansas Tech University,Russellville,AR,public,bachelors,main,31932,0.6937,0.839999974,0.4734,0.75999999,0.4559,5598,10374,16126,9128,8433,8399,10294,11585,11585,35000,35900,38400,42700,0.685746372,0.405856422,10000,819,11000,1632,9500,2532,10525,3853,9175,1142,7500,17528,3204,0.656991261
University of Central Arkansas,Conway,AR,public,bachelors,main,39480,0.6977,0.899999976,0.492,0.649999976,0.3937,7595,13340,17899,9693,8003,8879,10384,12110,12483,37100,36400,42600,46000,0.738861918,0.413384034,11216.5,1178,12371,1581,11720,1978,12794,3259,9750,1490,8912,21617,4008,0.762225549
Henderson State University,Arkadelphia,AR,public,bachelors,main,32258,0.5716,0.870000005,0.5985,0.730000019,0.5296,7580,13700,18033,8049,7969,7899,9338,5601,,35200,36400,38400,41400,0.716455698,0.316101825,9624,391,11000,659,10000,1074,10998.5,1592,8273,533,8500,20191,1458,0.650205761
Southern Arkansas University Main Campus,Magnolia,AR,public,bachelors,main,27662,0.6433,0.810000002,0.5054,0.790000021,0.5152,7466,10616,17738,7543,6792,7349,8803,11436,11894,35900,36600,41600,42000,0.679112017,0.315372043,9600.5,236,10500,492,10422,971,10795,1388,8764.5,312,8250,17216.5,1256,0.599522293
University of Arkansas-Fort Smith,Fort Smith,AR,public,bachelors,main,25892,0.6217,0.699999988,0.4018,0.819999993,0.5053,4528,10072,14335,6727,6429,6794,7342,9914,10222,29900,30200,36500,44300,0.58982265,0.22785879,8250,464,8331,994,8017.5,1846,8500,2690,6447,616,5500,17432,2601,0.589004229
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,public,bachelors,main,72114,0.9249,0.920000017,0.3482,0.479999989,0.1975,8724,19884,23867,17112,9938,11814,16235,21114,22923,60900,62600,65500,68300,0.841082215,0.708648521,18264,2140,17500,1027,16586,930,PrivacySuppressed,PrivacySuppressed,17000,2175,12000,19500,3958,0.946184942
California State University-Bakersfield,Bakersfield,CA,public,bachelors,main,28069.5,0.7442,0.75999999,0.4158,0.790000021,0.5843,6775,17935,18061,8634,6299,7357,11693,16253,17501,48100,46100,49900,50100,0.776027024,0.390511967,12833,678,10303,1039,11614,1956,11572,2754,11000,927,9000,16174.5,2595,0.738342967
California State University-Stanislaus,Turlock,CA,public,bachelors,main,31658.5,0.8725,0.730000019,0.4286,0.75,0.5774,6491,17651,17161,7797,4711,5920,9415,15050,16633,44900,45100,44200,46900,0.752551019,0.503997722,15161.5,668,13000,1038,14099,1525,14000,2460,13877,773,13713,16500,2329,0.833404895
California State University-San Bernardino,San Bernardino,CA,public,bachelors,main,28986.5,0.8879,0.75,0.4698,0.779999971,0.5799,6550,17710,17030,7619,4967,5893,10210,14901,16732,45500,44100,48200,49800,0.751401842,0.423612828,17206,1161,15642.5,1936,16500,3017,16520,4865,15016,1260,12500,18482,5012,0.733838787
California State Polytechnic University-Pomona,Pomona,CA,public,bachelors,main,30962,0.8997,0.689999998,0.3883,0.74000001,0.4404,6350,17510,19402,12135,7599,10209,13505,18164,19216,52000,54400,55100,56000,0.807509482,0.516180678,19000,1542,15000,1791,14659,2483,15753,4213,15500,1616,11691,18001,4170,0.904316547
California State University-Chico,Chico,CA,public,bachelors,main,37864,0.8665,0.870000005,0.452,0.670000017,0.3893,6972,18132,22926,15184,9956,11944,16525,21520,22604,45100,48300,50800,53300,0.770074785,0.56593677,15000,1708,15000,1517,13750,2245,15104.5,3764,13200,1726,11596,16500,4402,0.862789641
California State University-Dominguez Hills,Carson,CA,public,bachelors,main,25199.5,0.7926,0.720000029,0.4291,0.779999971,0.5862,6100,17260,12957,3698,1592,3104,8070,12615,12319,42800,42400,49100,56800,0.733202338,0.284629995,12889,581,13750,1418,15048,3291,15296,4086,12500,1207,12390,17201.5,3234,0.698206555
California State University-Fresno,Fresno,CA,public,bachelors,main,28781,0.8323,0.699999988,0.3628,0.800000012,0.5407,6287,17447,16377,7093,4281,6658,10354,15032,15921,43200,45400,47400,51900,0.754002273,0.48326252,16485.5,1436,14045,2031,13750,3089,14501,5022,14461,1543,12000,16500,4926,0.826431181
California State University-Fullerton,Fullerton,CA,public,bachelors,main,31500,0.8853,0.709999979,0.3327,0.689999998,0.4061,6186,17346,16663,9034,4449,6606,10150,15152,16517,46500,48400,50700,51500,0.779724836,0.523553498,15000,2426,12500,2817,12000,3892,12500,6099,14000,3060,10224,14718,6984,0.861254296
California State University-East Bay,Hayward,CA,public,bachelors,main,22898,0.7753,0.720000029,0.3844,0.689999998,0.4426,6550,17710,20676,12535,8800,11345,15315,19848,20403,51300,52500,58100,56800,0.786227286,0.394155463,13000,1009,12500,1533,12500,2739,12972,3523,12500,1776,11349.5,16312,3340,0.804790419
California State University-Long Beach,Long Beach,CA,public,bachelors,main,30725,0.8876,0.720000029,0.393,0.709999979,0.4733,6240,17400,18085,9699,6048,8133,11590,16560,17785,46900,49200,51200,51200,0.778518498,0.585847308,16500,2479,14000,3039,12988.5,4712,15000,7058,13449,3199,11000,15775,7068,0.876627052
California State University-Los Angeles,Los Angeles,CA,public,bachelors,main,20015,0.8206,0.560000002,0.3924,0.829999983,0.6447,6344,17504,14747,5431,3207,5697,10189,13204,14671,44900,45200,49200,53500,0.768513978,0.360507616,12500,628,11590.5,1822,12208.5,3430,12029,4783,12000,1105,9834,14125,3860,0.789637306
California State University-Northridge,Northridge,CA,public,bachelors,main,27373,0.782,0.680000007,0.3636,0.769999981,0.4848,6525,17685,20899,11439,8779,10313,15435,19827,20637,44200,45700,49000,50000,0.7459324,0.468288564,14250,2295,12500,3436,12036,5947,12087,8560,13750,3149,9000,15000,8113,0.801676322
California State University-Sacramento,Sacramento,CA,public,bachelors,main,28449,0.8251,0.75999999,0.4153,0.730000019,0.505,6628,17788,19380,10614,6971,9204,13019,18061,18988,46500,48200,50900,54200,0.788168252,0.421065595,15000,2212,14847,2787,15566,4666,16133,7147,13000,2538,12000,17250,7108,0.837929094
University of California-Berkeley,Berkeley,CA,public,bachelors,main,39266,0.9637,0.839999974,0.3021,0.670000017,0.3237,12864,35742,32715,13769,8506,9752,13944,21066,28596,62700,76800,78700,80900,0.854272306,0.908562722,15000,2309,14500,2129,13566,2974,14216,5053,14980,2393,14147,14667,5239,0.893109372
University of California-Davis,Davis,CA,public,bachelors,main,41894,0.9294,0.889999986,0.4467,0.620000005,0.4297,13895,36773,31803,15054,9573,10786,13956,21835,28976,57100,65400,68100,65300,0.848554313,0.812878484,13667,2603,14500,2905,13000,3739,14260,6431,12999,2850,11461,15000,6345,0.919936958
University of California-Irvine,Irvine,CA,public,bachelors,main,50385,0.9175,0.850000024,0.4418,0.579999983,0.432,13149,36027,28980,11944,8096,9500,12970,20923,26800,55800,62400,60700,62400,0.838831902,0.857361576,17500,2136,15726,2057,14330,2319,15500,4237,15500,2300,10788.5,17414,4759,0.915738601
University of California-Los Angeles,Los Angeles,CA,public,bachelors,main,34557.5,0.9626,0.860000014,0.374,0.660000026,0.3624,12697,35575,31474,13723,8883,9579,13645,20789,27167,59200,71700,67600,70800,0.83060801,0.909257524,15296,2447,15760,2447,14850,3207,15598.5,5430,15000,2719,13244.5,15900,6691,0.916604394
University of California-Riverside,Riverside,CA,public,bachelors,main,43078.5,0.8898,0.860000014,0.5688,0.699999988,0.564,12960,35838,29787,11473,7651,8448,10949,18356,26614,48700,50300,52700,55800,0.797668219,0.662386603,18667,1579,17000,2159,16452,2470,17266,4704,16819.5,1516,10379,19500,4617,0.83127572
University of California-San Diego,La Jolla,CA,public,bachelors,main,41248,0.942,0.889999986,0.4731,0.660000026,0.4274,13271,36149,29751,14421,8861,10054,13383,20777,26913,59600,70100,68500,70300,0.851608217,0.860365464,16500,1834,19000,2419,19000,3348,19232,5719,15000,1907,15116,19266,6038,0.921000331
University of California-Santa Barbara,Santa Barbara,CA,public,bachelors,main,51240,0.9193,0.910000026,0.438,0.579999983,0.3798,13746,36624,31913,14142,9546,10895,13985,21943,29089,52000,57400,57000,61400,0.817696989,0.804666207,15000,2357,15000,2191,15250,2555,15567,4665,15000,2476,12625,18057,4587,0.896010464
University of California-Santa Cruz,Santa Cruz,CA,public,bachelors,main,58508,0.8879,0.930000007,0.5586,0.550000012,0.4459,13397,36275,33208,15107,9989,11280,14868,22432,30957,44600,46800,50900,52000,0.755140901,0.735264493,15224,2017,16693,1950,16980.5,2290,17359,4200,PrivacySuppressed,PrivacySuppressed,11000,19737.5,3869,0.895321789
California Maritime Academy,Vallejo,CA,public,bachelors,main,60317.5,0.8214,0.970000029,0.6043,0.519999981,0.3762,6536,17696,22223,16974,11371,13434,14795,18849,21819,81100,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.867088616,0.58333,17500,161,PrivacySuppressed,PrivacySuppressed,26096,169,26500,263,PrivacySuppressed,PrivacySuppressed,18925,26000,292,0.907534247
Humboldt State University,Arcata,CA,public,bachelors,main,26935.5,0.7756,0.889999986,0.605,0.730000019,0.5162,7144,18304,23113,14715,10579,12620,16412,20049,22171,36200,38700,39600,41600,0.665233731,0.4025199,15000,917,14500,974,15394.5,1704,16500,2672,12192,931,10730,20250,2565,0.779337232
San Diego State University,San Diego,CA,public,bachelors,main,37534,0.8775,0.819999993,0.3828,0.629999995,0.3956,6766,17926,20252,11724,6298,9015,12856,18825,19663,48700,50300,52200,56700,0.798312247,0.660979954,16011,2573,14147,2573,12772,3648,14477,5667,14494,3131,11004.5,16460,7696,0.871751559
San Francisco State University,San Francisco,CA,public,bachelors,main,29962,0.8211,0.790000021,0.3997,0.670000017,0.4239,6450,17610,22267,14235,9900,11926,15980,20919,22106,46900,50400,52700,52900,0.773162365,0.463494766,15000,2311,14567.5,2730,15250,4348,15850,6231,13772,3183,12000,17775,6556,0.814215985
San Jose State University,San Jose,CA,public,bachelors,main,27853.5,0.8782,0.689999998,0.3548,0.74000001,0.3955,7343,18503,21160,13794,9571,11441,15154,20184,21083,54600,58900,62900,60000,0.809700668,0.475560486,15000,1624,14000,1923,13000,2807,14262,4550,13561,1826,11000,16251,5310,0.878154426
Sonoma State University,Rohnert Park,CA,public,bachelors,main,46028,0.8404,0.889999986,0.4143,0.540000021,0.2968,7234,18394,23675,17350,10818,12732,17652,22350,23497,45600,48100,50300,51600,0.771149695,0.543663967,15000,1093,14252,812,14750,1069,15500,1672,PrivacySuppressed,PrivacySuppressed,11502,18750,2181,0.859697387
Adams State University,Alamosa,CO,public,bachelors,main,34243,0.5592,0.829999983,0.629,0.730000019,0.5029,7449,18081,17759,14676,14705,14570,14842,14510,14808,33200,34100,37000,41300,0.678237677,0.21733659,9500,275,11000,416,11500,619,12500,992,8250,319,11000,PrivacySuppressed,1321,0.626040878
University of Colorado Denver,Denver,CO,public,bachelors,main,36176,0.7521,0.899999976,0.3877,0.49000001,0.2777,7933,22057,18822,13594,9870,11231,15197,18801,18822,73800,93000,95500,88600,0.886395514,0.429572559,15000,1281,17428,1537,17541,2371,18500,2944,PrivacySuppressed,PrivacySuppressed,11368,22995,3387,0.833480957
University of Colorado Colorado Springs,Colorado Springs,CO,public,bachelors,main,48420,0.7137,0.899999976,0.5042,0.540000021,0.3222,7024,18437,16707,13020,9399,10770,13952,16053,16143,41200,45400,45800,48500,0.764318645,0.462917596,11000,1323,12500,1306,12800.5,1554,14395,2405,9500,1789,8250,21000,2402,0.881765196
University of Colorado Boulder,Boulder,CO,public,bachelors,main,73526,0.8462,0.949999988,0.3298,0.439999998,0.1722,10347,32115,27854,21849,13636,18042,22596,25500,27065,48000,52000,53700,58200,0.79040575,0.688399964,14000,3802,16750,2125,15744,1831,18112.5,3582,12500,4225,9500,19500,5661,0.889242183
Colorado School of Mines,Golden,CO,public,bachelors,main,74554,0.9189,0.949999988,0.4771,0.430000007,0.1754,16485,32415,29091,24980,19966,20756,25363,27363,27375,74700,79200,82800,82800,0.903481007,0.681252673,21500,646,23750,407,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,19875,769,11700,26025,930,0.949462366
Colorado State University-Fort Collins,Fort Collins,CO,public,bachelors,main,69107,0.8591,0.930000007,0.4739,0.439999998,0.2571,9313,25166,21823,15707,9898,10708,14656,20861,21467,44300,48400,48400,51400,0.782625616,0.633575468,16000,3707,17000,2516,17125,2155,18758.5,4130,14500,4277,9750,21250,5699,0.895771188
Fort Lewis College,Durango,CO,public,bachelors,main,47128,0.6504,0.870000005,0.4633,0.569999993,0.3175,6923,17763,19565,14398,10617,12326,16143,16571,17936,34000,37000,36500,41300,0.653555214,0.374146734,11000,612,9954,578,10986.5,688,11959,1137,8250,748,6250,20000,1400,0.774285714
Colorado Mesa University,Grand Junction,CO,public,bachelors,main,40837,0.6535,0.889999986,0.576,0.629999995,0.4025,6725,16748,18077,15833,13340,14328,16976,18039,,34600,34800,40000,44700,0.678678691,0.293916031,9500,1317,12000,1605,12097,2239,13500,3463,8750,1714,9500,22000,2860,0.703846154
Metropolitan State University of Denver,Denver,CO,public,bachelors,main,32755,0.658,0.879999995,0.512,0.629999995,0.3851,5744,17837,14034,10586,8618,9446,11365,13565,13949,38600,38800,43300,45800,0.712602794,0.254927534,12500,2322,14099.5,3820,13475.5,6310,15105,8431,11000,4052,9997,25000,8384,0.70956584
University of Northern Colorado,Greeley,CO,public,bachelors,main,69484,0.663,0.930000007,0.592,0.409999996,0.3514,6968,18507,19105,16679,14208,15290,17702,17691,19014,39000,43800,42500,44600,0.750684917,0.455195693,14250,1920,14500,1753,14500,1476,16357.5,2890,12500,2278,8250,22461,3697,0.859074926
Colorado State University-Pueblo,Pueblo,CO,public,bachelors,main,38635,0.6263,0.889999986,0.5624,0.639999986,0.4132,7327,17649,18007,13658,11016,11386,14682,16361,16883,36200,36400,40700,44400,0.719424486,0.333357073,11100,678,12000,981,12750,1224,13250,2004,10000,883,8250,21199,2365,0.685835095
Western State Colorado University,Gunnison,CO,public,bachelors,main,60062.5,0.6837,0.910000026,0.2279,0.460000008,0.3143,7343,17284,18875,14177,11174,13068,15192,16906,17323,36500,37100,39300,42800,0.689855099,0.398802204,11000,349,PrivacySuppressed,PrivacySuppressed,11878,294,14021,511,PrivacySuppressed,PrivacySuppressed,8481.5,20497.5,859,0.8556461
Central Connecticut State University,New Britain,CT,public,bachelors,main,66799.5,0.7681,0.959999979,0.5918,0.449999988,0.3335,8706,20211,20372,15772,12522,12850,14549,17225,19369,43700,43800,47300,47300,0.78597784,0.519286608,16500,1824,17906,1510,16348.5,1430,18750,2689,14500,2081,11250,22894,3131,0.852443309
Charter Oak State College,New Britain,CT,public,bachelors,main,32836.5,,0.819999993,0.337,0.639999986,0.2597,,,,,,,,,,39800,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.693069279,,12500,151,12258,301,12418,283,12161.5,448,PrivacySuppressed,PrivacySuppressed,8875,18000,402,0.803482587
University of Connecticut,Storrs,CT,public,bachelors,main,86510,0.9392,0.949999988,0.5013,0.349999994,0.2088,12022,30970,25786,19431,12678,14395,17834,21109,23670,53900,58200,58400,61000,0.855800033,0.825635882,19500,4343,19000,2433,17250,1764,20113.5,3570,18500,4986,11600,21500,6111,0.929144166
Eastern Connecticut State University,Willimantic,CT,public,bachelors,main,76549,0.781,0.949999988,0.6099,0.400000006,0.2644,9376,20881,22633,18364,14399,15551,17506,19339,21534,42400,39300,45800,46800,0.784507036,0.518172424,17500,1279,19000,764,15000,580,PrivacySuppressed,PrivacySuppressed,15000,1402,10247.5,23000,1963,0.853795211
Southern Connecticut State University,New Haven,CT,public,bachelors,main,62972.5,0.7522,0.949999988,0.6169,0.469999999,0.3462,9020,20486,18628,14750,11967,12758,14946,16366,17546,41700,41900,44500,47100,0.757643878,0.464016146,17500,1511,18455,1343,16142,1272,19500,2294,14250,1835,11000,24449.5,3253,0.806947433
Western Connecticut State University,Danbury,CT,public,bachelors,main,67834,0.7426,0.959999979,0.5673,0.430000007,0.2835,8893,20398,19446,15864,12778,14106,15214,16825,18576,43300,41300,48800,48400,0.757057309,0.435674715,16275,1111,18100,865,16500,682,19500,1369,14000,1296,11000,24250,2028,0.819033531
Delaware State University,Dover,DE,public,bachelors,main,40163,0.6523,0.949999988,0.7236,0.680000007,0.5034,7336,15692,20506,13161,12481,13454,13860,16424,8163,34200,35500,34500,39400,0.657559216,0.351262647,15000,547,17500,885,14149.5,938,17937.5,1696,11375,676,9500,29000,1683,0.535353535
University of Delaware,Newark,DE,public,bachelors,main,102027,0.9191,0.959999979,0.4917,0.25999999,0.1192,12112,29932,21748,15998,9409,14679,16083,17593,19357,54300,50500,56800,61300,0.857180595,0.809490114,21250,3813,21250,1397,19334,731,22505,1709,20500,4243,9458.5,24126.5,3827,0.931539065
University of the District of Columbia,Washington,DC,public,bachelors,main,17636,0.5833,0.469999999,0.4241,0.870000005,0.4917,5138,8778,19873,15453,14969,15441,18367,19104,19873,36200,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.670689642,0.155446188,10250,155,9500,637,9500,1526,9500,1890,8250,432,7000,20000,1019,0.51030422
University of Central Florida,Orlando,FL,public,bachelors,main,38367.5,0.8711,0.829999983,0.4547,0.600000024,0.3771,6317,22416,19815,14048,11134,12518,15343,17106,17430,43000,47700,49200,50100,0.785994709,0.661416477,15000,5510,15000,6849,15000,8903,15980,13765,13597.5,7562,9750,18500,10746,0.852875489
Florida Agricultural and Mechanical University,Tallahassee,FL,public,bachelors,main,33649,0.8152,0.910000026,0.7476,0.769999981,0.6445,5785,17725,19191,11905,10326,11672,14357,16852,16949,37300,42300,44200,49300,0.711994648,0.403675606,19750,855,22000,1875,20427,3219,21750,5033,15000,919,15500,27274.5,4269,0.569454205
Florida Atlantic University,Boca Raton,FL,public,bachelors,main,32086,0.765,0.839999974,0.3996,0.649999976,0.3999,4790,17234,19131,13242,10215,11889,14949,17024,17435,41400,45600,47500,48900,0.76164031,0.410684441,11130,2024,12500,3203,12500,5148,13700,7087,10982,3331,9500,17250,6051,0.788629979
Florida International University,Miami,FL,public,bachelors,main,27626,0.8354,0.730000019,0.456,0.779999971,0.5809,6496,18895,18426,12266,9183,11227,13987,15162,15518,45100,48300,51200,52400,0.790681005,0.500913288,12250,2091,13812.5,4646,14250,8687,14500,11941,12226,3521,10500,17750,8199,0.781070862
Florida State University,Tallahassee,FL,public,bachelors,main,51372.5,0.9171,0.899999976,0.465,0.540000021,0.3065,6507,21673,20774,14691,11542,12964,15576,17573,18190,44000,48600,49900,51800,0.801855445,0.75999095,18750,4181,18999.5,3608,18500,3760,20241,6733,16906,4863,12999.5,21000,8321,0.856627809
University of Florida,Gainesville,FL,public,bachelors,main,45776.5,0.9646,0.850000024,0.3506,0.600000024,0.3207,6263,28541,20456,12582,8111,8466,9247,12400,16912,51300,59100,58700,61800,0.833858013,0.858173311,15000,3076,15000,3073,13116,3181,14980.5,5764,14000,3606,10250,15132.5,6450,0.878139535
University of North Florida,Jacksonville,FL,public,bachelors,main,41844.5,0.8167,0.870000005,0.4242,0.579999983,0.348,6353,20756,19415,11528,6825,8810,12868,15847,16541,41600,44600,47400,46900,0.774242401,0.489176471,13100,1435,13754.5,1742,14750,2202,15250,3414,12500,1983,9882,17479,3926,0.827050433
University of South Florida-Main Campus,Tampa,FL,public,bachelors,main,36808.5,0.8878,0.870000005,0.4783,0.629999995,0.4127,6410,17324,19299,10281,6688,7652,10710,15931,19208,41700,44300,46300,49000,0.772431552,0.597743539,16000,3866,17765,5625,16958,7436,18450,11372,14250,5612,12500,19735,11841,0.789967064
